name,N_nodes,M_edges,density,n_components,gcc_frac,avg_degree,max_degree,avg_path_len_GCC,diameter_GCC,global_efficiency,avg_clustering
power_transmission,57,67,0.041979949874686714,1,1.0,2.3508771929824563,8,4.807644110275689,10,0.2686149898555911,0.06445279866332498
power_hospital,8,5,0.17857142857142858,3,0.5,1.25,3,1.5,2,0.23214285714285715,0.0
comm_hospital,44,48,0.0507399577167019,4,0.36363636363636365,2.1818181818181817,15,1.875,2,0.15274841437632136,0.0
